Station_ID ,Station_Name,Address,Latitude,Longitude,Total_Reviews,Open_24_Hours,Google_Maps_URL,Open_24_Hours,Decision_Score
ChIJAXzsI8pt04URDm0mTCExiYs,Chevron,"México Querétaro KM 175, México 45D 177, 76729 El Sauz, Qro., Mexico",20.4621846,-100.0967635,191,TRUE,https://www.google.com/maps/search/?api=1&query=Chevron&query_place_id=ChIJAXzsI8pt04URDm0mTCExiYs,TRUE,86
ChIJvUHgLIRz04UR2guVVB0E6_A,G500,"Queretaro - Ixmiquilpan 135, Nuevo Espiritu Santo, 76815 La Estancia, Qro., Mexico",20.4230169,-100.0510449,926,TRUE,https://www.google.com/maps/search/?api=1&query=G500&query_place_id=ChIJvUHgLIRz04UR2guVVB0E6_A,TRUE,92
ChIJOzOV7mQL04URdu25HFoftmA,BP,"Paseo Central, Centro, 76800 San Juan del Río, Qro., Mexico",20.3903271,-99.9845395,105,TRUE,https://www.google.com/maps/search/?api=1&query=BP&query_place_id=ChIJOzOV7mQL04URdu25HFoftmA,TRUE,78
ChIJFf-OLFN504URUOM29w-sCcY,Pemex,"Km 5 Crucero Carret. Bernal y, 76650 Colón, Qro., Mexico",20.7073682,-99.9829661,121,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJFf-OLFN504URUOM29w-sCcY,TRUE,82
ChIJoxaF7h9204URgn-rHXEiMBQ,bp,"Pueblo Ampliación Del Paraís, Mexican Federal Highway 120 23 San Juan Del Río, 76248 El Ciervo, Qro., Mexico",20.5459526,-99.9028251,148,TRUE,https://www.google.com/maps/search/?api=1&query=bp&query_place_id=ChIJoxaF7h9204URgn-rHXEiMBQ,TRUE,85
ChIJQ58F8o2D04UR-SjtaBgIAhs,"Doña Gasolineria Pure, S.A. De C.V.","Federal No. 120 San Juan del Rio - Xilitla 5, Zona Centro, 76503 Cadereyta de Montes, Qro., Mexico",20.7018595,-99.8214643,232,TRUE,https://www.google.com/maps/search/?api=1&query=Do%C3%B1a%20Gasolineria%20Pure%2C%20S.A.%20De%20C.V.&query_place_id=ChIJQ58F8o2D04UR-SjtaBgIAhs,TRUE,83
ChIJl3n6J3tt04URd3gaxhBINo4,OXXO GAS,"Queretaro - Ixmiquilpan 14, 76821 El Sauz, Qro., Mexico",20.454691,-100.089102,319,TRUE,https://www.google.com/maps/search/?api=1&query=OXXO%20GAS&query_place_id=ChIJl3n6J3tt04URd3gaxhBINo4,TRUE,88
ChIJV-lmOHsL04UR84N9BBOj92U,Mobil Avenida Central,"Av Río Moctezuma no 1, Z/O Secc 8, San Cayetano, 76806 San Juan del Río, Qro., Mexico",20.388382,-99.984212,280,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20Avenida%20Central&query_place_id=ChIJV-lmOHsL04UR84N9BBOj92U,TRUE,87
ChIJxznk7XZt04URuftkJrvn4YA,Pemex Gasolinera,"San Juan del Río-Pedro Escobedo 177, 76729 El Sauz, Qro., Mexico",20.461568,-100.0958025,508,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex%20Gasolinera&query_place_id=ChIJxznk7XZt04URuftkJrvn4YA,TRUE,88
ChIJb_1WzuWD04URUioqa1uy8qw,Gasolinera 4773,"20.707381,-99.828456 76500 cadereyta, QRO México, 76500 Cadereyta de Montes, Qro., Mexico",20.707142,-99.828375,66,TRUE,https://www.google.com/maps/search/?api=1&query=Gasolinera%204773&query_place_id=ChIJb_1WzuWD04URUioqa1uy8qw,TRUE,82
ChIJpU14C7YN04URYI0BIsSKYtw,Pemex,"Blvrd Pablo Cabrera 54, Centro, 76800 San Juan del Río, Qro., Mexico",20.3957721,-99.9926156,193,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJpU14C7YN04URYI0BIsSKYtw,TRUE,86
